"student_id","year","semester_number","course_code","study_format","credits_unit","raw_score","current_semester_gpa","cumulative_gpa","previous_courses_taken","previous_credits_earned"
"28211280315","2023-2024","1","CHE 101","LAB","1","7.70","7.88","3.38","0","0"
"28211280315","2023-2024","1","CHE 101","LEC","2","6.60","7.88","3.38","0","0"
"28211280315","2023-2024","1","CMU-SE 100","LEC","3","8.80","7.88","3.38","0","0"
"28211280315","2023-2024","1","CS 201","LEC","2","8.20","7.88","3.38","0","0"
"28211280315","2023-2024","1","CS 201","LAB","1","8.20","7.88","3.38","0","0"
"28211280315","2023-2024","1","CS 211","LEC","3","9.00","7.88","3.38","0","0"
"28211280315","2023-2024","1","CS 211","LAB","1","9.00","7.88","3.38","0","0"
"28211280315","2023-2024","1","DTE-IS 102","LEC","1","8.30","7.88","3.38","0","0"
"28211280315","2023-2024","1","ES 221","DEM","1","6.20","7.88","3.38","0","0"
"28211280315","2023-2024","1","IS-ENG 136","LEC","3","7.40","7.88","3.38","0","0"
"28211280315","2023-2024","1","STA 151","LEC","2","7.80","7.88","3.38","0","0"
"28211280315","2023-2024","1","STA 151","REC","1","7.80","7.88","3.38","0","0"
"28211280315","2023-2024","1","MTH 103","","3","7.80","7.88","3.38","0","0"
"28211280315","2023-2024","1","MTH 104","","4","8.20","7.88","3.38","0","0"
"28211280315","2023-2024","1","LAW 201","","2","6.30","7.88","3.38","0","0"
"28211280315","2023-2024","1","POS 151","","2","7.40","7.88","3.38","0","0"
"28211280315","2023-2024","1","POS 351","","2","7.40","7.88","3.38","0","0"
"28211280315","2023-2024","2","CMU-CS 246","LEC","3","7.00","7.72","3.36","17","34"
"28211280315","2023-2024","2","CMU-CS 297","DIS","1","8.50","7.72","3.36","17","34"
"28211280315","2023-2024","2","CMU-CS 311","LEC","3","7.70","7.72","3.36","17","34"
"28211280315","2023-2024","2","CMU-CS 311","LAB","1","7.70","7.72","3.36","17","34"
"28211280315","2023-2024","2","CMU-ENG 130","LEC","2","8.90","7.72","3.36","17","34"
"28211280315","2023-2024","2","COM 141","LAB","1","9.60","7.72","3.36","17","34"
"28211280315","2023-2024","2","IS-ENG 137","LEC","3","7.70","7.72","3.36","17","34"
"28211280315","2023-2024","2","IS-ENG 186","LEC","3","7.00","7.72","3.36","17","34"
"28211280315","2023-2024","2","MTH 254","LEC","2","7.50","7.72","3.36","17","34"
"28211280315","2023-2024","2","MTH 254","LAB","1","7.50","7.72","3.36","17","34"
"28211280315","2023-2024","Hè","ES 100","LEC","3","8.10","","","27","54"
"28211280315","2023-2024","Hè","ES 100","DEM","5","8.10","","","27","54"
"28211280315","2024-2025","1","CMU-CS 303","LEC","2","7.90","7.86","3.36","29","62"
"28211280315","2024-2025","1","CMU-CS 303","LAB","1","7.20","7.86","3.36","29","62"
"28211280315","2024-2025","1","CMU-IS 432","LEC","3","8.40","7.86","3.36","29","62"
"28211280315","2024-2025","1","CMU-SE 252","LEC","3","7.80","7.86","3.36","29","62"
"28211280315","2024-2025","1","COM 142","CON","1","7.60","7.86","3.36","29","62"
"28211280315","2024-2025","1","IS 301","LEC","3","6.80","7.86","3.36","29","62"
"28211280315","2024-2025","1","MTH 291","LEC","3","8.70","7.86","3.36","29","62"
"28211280315","2024-2025","1","PHI 150","LEC","3","7.90","7.86","3.36","29","62"
"28211280315","2024-2025","2","CMU-CS 447","PRJ","1","7.50","8.09","3.54","37","81"
"28211280315","2024-2025","2","CMU-CS 462","LEC","3","","8.09","3.54","37","81"
"28211280315","2024-2025","2","CMU-ENG 230","LEC","2","8.80","8.09","3.54","37","81"
"28211280315","2024-2025","2","CMU-SE 214","LEC","3","8.50","8.09","3.54","37","81"
"28211280315","2024-2025","2","CS 464","LEC","2","9.70","8.09","3.54","37","81"
"28211280315","2024-2025","2","CS 464","LAB","1","9.30","8.09","3.54","37","81"
"28211280315","2024-2025","2","ES 101","DEM","1","8.40","8.09","3.54","37","81"
"28211280315","2024-2025","2","MTH 203","LEC","3","8.50","8.09","3.54","37","81"
"28211280315","2024-2025","2","MTH 204","LAB","1","6.40","8.09","3.54","37","81"
"28211280315","2024-2025","2","MTH 341","LEC","3","6.10","8.09","3.54","37","81"
"28211280315","2024-2025","Hè","CMU-IS 401","LEC","3","","","","47","98"
"28211280315","2024-2025","Hè","CMU-SE 303","LEC","3","","","","47","98"
"28211280315","2024-2025","Hè","CS 466","LEC","2","","","","47","98"
"28211280315","2024-2025","Hè","HIS 221","LEC","2","","","","47","98"
"28211280315","2024-2025","Hè","POS 361","LEC","2","","","","47","98"
"28211280315","2025-2026","1","CMU-SE 403","LEC","3","","","","52","98"
"28211280315","2025-2026","1","CMU-SE 403","LAB","1","","","","52","98"
"28211280315","2025-2026","1","CMU-SE 433","LEC","3","","","","52","98"
"28211280315","2025-2026","1","CMU-SE 450","PRJ","3","","","","52","98"
"28211280315","2025-2026","1","HIS 221","LEC","2","","","","52","98"
"28211280315","2025-2026","1","HIS 362","LEC","2","","","","52","98"
"28211280315","2025-2026","1","IS 385","LEC","3","","","","52","98"
"28211280315","2025-2026","1","POS 351","LEC","2","","","","52","98"
